sku,name,brand,price,list_price,in_offer,detail_url,image_url,subcat_name,subcat_url,source_json_url,page_num,extracted_at
123620,Disney Pixar Cars (surtido) de Auto Básico,Disney,7690,7690,False,https://www.jumbo.cl/disney-pixar-cars-surtido-de-auto-basico-disney-1955112/p,https://jumbocl.vteximg.com.br/arquivos/ids/389943-250-250/PIXAR-CARS-SURTIDO-AUTOS-BASICOS.jpg?v=638776861276470000,Autos y Autopistas,https://www.jumbo.cl/hogar-jugueteria-y-libreria/jugueteria/autos-y-autopistas,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:34:07
12856,Hot Wheels Die Cast Auto Básico (surtido),Hot Wheels,1990,1990,False,https://www.jumbo.cl/hot-wheels-die-cast-auto-basico-surtido-hot-wheels-441133/p,https://jumbocl.vteximg.com.br/arquivos/ids/351442-250-250/Hot-Wheels-Die-Cast-Auto-Basico--surtido-.jpg?v=638776685378270000,Autos y Autopistas,https://www.jumbo.cl/hogar-jugueteria-y-libreria/jugueteria/autos-y-autopistas,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:34:07
19402,Hot Wheels Die Cast Paquete Mix de 5 Autitos,Hot Wheels,10990,10990,False,https://www.jumbo.cl/hot-wheels-die-cast-paquete-mix-de-5-autitos-hot-wheels-279234/p,https://jumbocl.vteximg.com.br/arquivos/ids/353353-250-250/Hot-Wheels-Die-Cast-Paquete-5-autos--surtido-.jpg?v=638776697043870000,Autos y Autopistas,https://www.jumbo.cl/hogar-jugueteria-y-libreria/jugueteria/autos-y-autopistas,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:34:07
96163,Caterpillar Mini Set de 5,Caterpillar,9490,9490,False,https://www.jumbo.cl/caterpillar-mini-set-de-5-caterpillar-1813768/p,https://jumbocl.vteximg.com.br/arquivos/ids/369329-250-250/Caterpillar-mini-machines-5-pack.jpg?v=638776776714200000,Autos y Autopistas,https://www.jumbo.cl/hogar-jugueteria-y-libreria/jugueteria/autos-y-autopistas,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:34:07
56284,Camiones 1:16 (surtido),Juguetería Importada,12990,12990,False,https://www.jumbo.cl/camiones-1-16-surtido-jugueteria-importada-1751015/p,https://jumbocl.vteximg.com.br/arquivos/ids/360003-250-250/Principal-2905948.jpg?v=638776730697400000,Autos y Autopistas,https://www.jumbo.cl/hogar-jugueteria-y-libreria/jugueteria/autos-y-autopistas,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:34:07
151208,Auto Red Bull Racing RB20 Verstappen Escala 1:43,Juguetería Importada,15990,15990,False,https://www.jumbo.cl/peluchehellokitty-2024580/p,https://jumbocl.vteximg.com.br/arquivos/ids/477659-250-250/Auto-Red-Bull-Racing-RB20-Verstappen-Escala-1-43.jpg?v=638875823161700000,Autos y Autopistas,https://www.jumbo.cl/hogar-jugueteria-y-libreria/jugueteria/autos-y-autopistas,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:34:07
105568,Motos Escala 1:18 (surtido),Welly,9990,9990,False,https://www.jumbo.cl/motos-escala-1-18-surtido-welly-1887156/p,https://jumbocl.vteximg.com.br/arquivos/ids/426379-250-250/Motos-Escala-1-18-Surtidas.jpg?v=638810987954130000,Autos y Autopistas,https://www.jumbo.cl/hogar-jugueteria-y-libreria/jugueteria/autos-y-autopistas,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:34:07
19390,Matchbox Autito Básicos (surtido),Matchbox,1990,1990,False,https://www.jumbo.cl/matchbox-autito-basicos-surtido-matchbox-279173/p,https://jumbocl.vteximg.com.br/arquivos/ids/353337-250-250/Matchbox-Autito-Basicos--surtido-.jpg?v=638776696982300000,Autos y Autopistas,https://www.jumbo.cl/hogar-jugueteria-y-libreria/jugueteria/autos-y-autopistas,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:34:07
69278,Hot Wheels Paquete Mix de 2 Autitos,Hot Wheels,3990,3990,False,https://www.jumbo.cl/hot-wheels-paquete-mix-de-2-autitos-hot-wheels-1766790/p,https://jumbocl.vteximg.com.br/arquivos/ids/362019-250-250/Autos-paquete-2-un.jpg?v=638776740609370000,Autos y Autopistas,https://www.jumbo.cl/hogar-jugueteria-y-libreria/jugueteria/autos-y-autopistas,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:34:07
128508,Hot Wheels Premium Cultura Pop Surtido,Hot Wheels,8990,8990,False,https://www.jumbo.cl/hot-wheels-premium-cultura-pop-surtido-hot-wheels-1959556/p,https://jumbocl.vteximg.com.br/arquivos/ids/394754-250-250/Hot-Wheels-Premium-Surtido-Cultura-Pop.jpg?v=638776879916130000,Autos y Autopistas,https://www.jumbo.cl/hogar-jugueteria-y-libreria/jugueteria/autos-y-autopistas,https://bff.jumbo.cl/catalog/plp,1,2026-02-26T18:34:07
